age,income,credit_score,loan_amount,loan_term_months,employment_years,num_of_credit_cards,previous_defaults,debt_to_income_ratio,default
59,152632,453,47543,36,9,5,2,0.7,1
49,99148,689,19559,48,30,2,4,0.49,1
35,103186,559,43914,12,32,3,3,0.43,1
63,177817,424,38139,24,28,0,2,0.56,1
28,182962,653,43333,12,4,3,3,0.6,1
41,171094,572,13802,48,12,0,4,0.58,1
59,143629,544,13307,60,0,4,2,0.11,1
39,90316,749,45205,60,22,7,1,0.21,0
43,48380,546,38214,36,39,7,4,0.49,1
31,130198,819,39159,48,2,4,2,0.33,1
31,22356,440,16516,12,2,9,3,0.69,1
44,90326,661,34086,12,6,1,3,0.5,1
56,112447,307,35480,60,35,5,2,0.67,1
60,134994,777,49659,60,34,0,3,0.22,1
44,40049,651,43737,24,14,6,2,0.62,1
23,125361,794,14265,60,39,3,2,0.29,1
42,36082,726,10454,24,2,4,3,0.69,1
22,20661,338,40918,12,28,5,0,0.19,1
44,188484,486,31181,24,29,0,1,0.41,1
64,22920,392,20386,24,38,8,4,0.58,1
50,99561,385,44182,36,17,9,1,0.36,1
58,28946,343,42425,60,10,3,4,0.38,1
22,196572,436,48254,24,37,7,4,0.69,1
41,36309,720,29327,12,39,4,1,0.36,0
53,75230,373,26181,48,0,7,2,0.46,1
32,131822,847,26452,24,28,0,3,0.13,1
42,181099,811,43248,60,9,7,0,0.61,1
64,132340,455,45801,36,27,3,0,0.49,1
45,79321,554,38751,12,30,1,0,0.34,1
69,152028,470,26991,36,18,5,1,0.11,1
47,94131,469,46311,48,2,1,1,0.46,1
62,198980,621,14916,24,35,4,2,0.11,1
48,45963,755,15143,24,14,1,0,0.1,0
36,121757,454,30855,60,32,2,2,0.47,1
35,190515,648,20581,24,25,5,0,0.21,0
67,119259,750,6907,12,15,0,1,0.22,0
64,59063,472,34424,48,35,5,3,0.49,1
23,134225,309,28308,36,32,2,3,0.13,1
57,136400,564,46984,48,19,6,3,0.29,1
27,100818,737,46505,24,12,1,3,0.19,1
41,24703,546,41942,36,32,5,4,0.45,1
29,92099,845,31957,60,4,7,0,0.5,1
